node_id,node_name,source,direction,broker_host,broker_port,current_topic,domain,role,current_payload,current_qos,current_retain,proposed_suffix,proposed_full_topic,proposed_payload,proposed_retain,migration_status,contract_present,notes,occurrences,node_ids,node_names,sources
0af2db132cc8cd0f,0af2db132cc8cd0f,mqtt_node,bridge_to_broker,192.168.1.20,1883,casa/clima/cmnd/AI_climate_enabling,climate,COMMAND,unknown,,,system/set,${baseTopic}/system/set,"json_object {automaticClimate:boolean,...}",false,MIGRATE_TO_JSON,yes,Topic presente nel contratto applicativo. Bridge v2: ingresso system/set JSON; conferma system/state retained.,3,0af2db132cc8cd0f ; 4b484152120e2d18 ; cf899af1e8162086,0af2db132cc8cd0f ; 4b484152120e2d18 ; Outbound Router Settaggi,function_literal ; mqtt_node
3db3a26c676e583c,3db3a26c676e583c,mqtt_node,bridge_to_broker,192.168.1.20,1883,casa/clima/cmnd/vmc_max_notte,climate,COMMAND,unknown,,true,vmc/maxNightSpeed/set,${baseTopic}/vmc/maxNightSpeed/set,unknown,false,KEEP_AS_COMMAND,yes,Topic presente nel contratto applicativo. Comando retained: da correggere nel bridge v2.,1,3db3a26c676e583c,3db3a26c676e583c,mqtt_node
01283d5864cde9b4,Inbound Router Settaggi,function_application_topic,application_mapping,,,zara/android/domotica/system/ac_auto/set,climate,COMMAND,scalar_or_boolean,,,system/ac_auto/set,${baseTopic}/system/ac_auto/set,scalar_or_boolean,false,CURRENT_APP_NAMESPACE,no,Topic proposto non ancora presente nel contratto.,1,01283d5864cde9b4,Inbound Router Settaggi,function_application_topic
84374abab73c53ba,Gateway Ambienti,function_literal,function_reference,,,${APP_BASE}/env/humidexBedroom,climate,READ_ONLY,number,,,env/humidexBedroom,${baseTopic}/env/humidexBedroom,number,true,CURRENT_APP_NAMESPACE,yes,Topic presente nel contratto applicativo.,1,84374abab73c53ba,Gateway Ambienti,function_literal
84374abab73c53ba,Gateway Ambienti,function_literal,function_reference,,,${APP_BASE}/env/humidexLiving,climate,READ_ONLY,number,,,env/humidexLiving,${baseTopic}/env/humidexLiving,number,true,CURRENT_APP_NAMESPACE,yes,Topic presente nel contratto applicativo.,1,84374abab73c53ba,Gateway Ambienti,function_literal
ef9798fe30ae6866,App Main Router,function_literal,function_reference,,,/thermostat/,climate,READ_ONLY,unknown,,,,,unknown,true,MANUAL_REVIEW,no,,1,ef9798fe30ae6866,App Main Router,function_literal
bd8d66b09aae991f,Inbound Router Termostati,function_literal,function_reference,,,^${baseTopic}/thermostat/([^/]+)/target/set$,climate,READ_ONLY,unknown,,,,,unknown,true,REGEX_ROUTE,no,,1,bd8d66b09aae991f,Inbound Router Termostati,function_literal
84374abab73c53ba,Gateway Ambienti,function_literal,function_reference,,,emon/cameraMatrimoniale/humidex,climate,READ_ONLY,number,,,env/humidexBedroom,${baseTopic}/env/humidexBedroom,number,true,LEGACY_MAP,yes,Topic presente nel contratto applicativo.,2,84374abab73c53ba ; f22c31479e1b1d5b,Gateway Ambienti ; f22c31479e1b1d5b,function_literal ; mqtt_node
84374abab73c53ba,Gateway Ambienti,function_literal,function_reference,,,emon/cameraMatrimoniale/humidity,climate,READ_ONLY,number,,,env/humBedroom,${baseTopic}/env/humBedroom,number,true,LEGACY_MAP,yes,Topic presente nel contratto applicativo.,1,84374abab73c53ba,Gateway Ambienti,function_literal
84374abab73c53ba,Gateway Ambienti,function_literal,function_reference,,,emon/cameraMatrimoniale/temperature,climate,READ_ONLY,number,,,env/tempBedroom,${baseTopic}/env/tempBedroom,number,true,LEGACY_MAP,yes,Topic presente nel contratto applicativo.,1,84374abab73c53ba,Gateway Ambienti,function_literal
84374abab73c53ba,Gateway Ambienti,function_literal,function_reference,,,emon/emonth5/humidex,climate,READ_ONLY,number,,,env/humidexLiving,${baseTopic}/env/humidexLiving,number,true,LEGACY_MAP,yes,Topic presente nel contratto applicativo.,2,831724587f5922f7 ; 84374abab73c53ba,Gateway Ambienti ; humidex living,function_literal ; mqtt_node
84374abab73c53ba,Gateway Ambienti,function_literal,function_reference,,,emon/emonth5/humidity,climate,READ_ONLY,number,,,env/humLiving,${baseTopic}/env/humLiving,number,true,LEGACY_MAP,yes,Topic presente nel contratto applicativo.,2,232f8e2188161e4c ; 84374abab73c53ba,Gateway Ambienti ; MQTT humidity living,function_literal ; mqtt_node
1c21da7cdc55c2ae,MQTT temperatura living,mqtt_node,broker_to_bridge,192.168.1.15,1883,emon/emonth5/temperature_calibrated,climate,READ_ONLY,number,2,,env/tempLiving,${baseTopic}/env/tempLiving,number,true,LEGACY_MAP,yes,Topic presente nel contratto applicativo.,2,1c21da7cdc55c2ae ; 84374abab73c53ba,Gateway Ambienti ; MQTT temperatura living,function_literal ; mqtt_node
84374abab73c53ba,Gateway Ambienti,function_application_topic,application_mapping,,,zara/android/domotica/env/humidexBedroom,climate,READ_ONLY,number,,,env/humidexBedroom,${baseTopic}/env/humidexBedroom,number,true,CURRENT_APP_NAMESPACE,yes,Topic presente nel contratto applicativo.,1,84374abab73c53ba,Gateway Ambienti,function_application_topic
84374abab73c53ba,Gateway Ambienti,function_application_topic,application_mapping,,,zara/android/domotica/env/humidexLiving,climate,READ_ONLY,number,,,env/humidexLiving,${baseTopic}/env/humidexLiving,number,true,CURRENT_APP_NAMESPACE,yes,Topic presente nel contratto applicativo.,1,84374abab73c53ba,Gateway Ambienti,function_application_topic
bd8d66b09aae991f,Inbound Router Termostati,function_application_topic,application_mapping,,,zara/android/domotica/thermostat/([^/]+,climate,READ_ONLY,unknown,,,thermostat/([^/]+,${baseTopic}/thermostat/([^/]+,unknown,true,CURRENT_APP_NAMESPACE,no,Topic proposto non ancora presente nel contratto.,1,bd8d66b09aae991f,Inbound Router Termostati,function_application_topic
a40733727fb29c55,a40733727fb29c55,mqtt_node,bridge_to_broker,192.168.1.20,1883,zara/domotics/ACAuto,climate,READ_ONLY,unknown,0,true,system/ac_auto/state,${baseTopic}/system/ac_auto/state,unknown,true,DISTINCT_SEMANTICS,yes,Topic presente nel contratto applicativo.,3,6571bf1f8e667903 ; a40733727fb29c55 ; cf899af1e8162086,6571bf1f8e667903 ; Outbound Router Settaggi ; a40733727fb29c55,function_literal ; mqtt_node
cf899af1e8162086,Outbound Router Settaggi,function_literal,function_reference,,,casa/clima/stat/vmc_max_notte,climate,STATE,unknown,,,vmc/maxNightSpeed/state,${baseTopic}/vmc/maxNightSpeed/state,normalized_scalar,true,KEEP_AS_STATE,no,Topic proposto non ancora presente nel contratto.,2,6bf7b6d43cfb3fc3 ; cf899af1e8162086,6bf7b6d43cfb3fc3 ; Outbound Router Settaggi,function_literal ; mqtt_node
ac1dc3384afb5a6b,Ascolto Stato AI e TRV,mqtt_node,broker_to_bridge,192.168.1.20,1883,casa/clima/stato_completo,climate,STATE,json_object,1,,casa/clima/stato_completo,${baseTopic}/casa/clima/stato_completo,json_object,true,READ_ONLY_PRIMARY,yes,Topic presente nel contratto applicativo.,4,ac1dc3384afb5a6b ; cb6b6b6eff77245e ; fc51aac30db89430 ; fe21b464ce170529,Ascolto Stato AI e TRV ; Outbound Router Termostati ; Outbound Router VMC ; fe21b464ce170529,function_literal ; mqtt_node
cf899af1e8162086,Outbound Router Settaggi,function_application_topic,application_mapping,,,zara/android/domotica/system/ac_auto/state,climate,STATE,scalar_or_boolean,,,system/ac_auto/state,${baseTopic}/system/ac_auto/state,normalized_scalar,true,CURRENT_APP_NAMESPACE,yes,Topic presente nel contratto applicativo.,1,cf899af1e8162086,Outbound Router Settaggi,function_application_topic
fc51aac30db89430,Outbound Router Termostati,function_application_topic,application_mapping,,,zara/android/domotica/thermostat/${targetRoom}/target/state,climate,STATE,scalar_or_boolean,,,thermostat/${targetRoom}/target/state,${baseTopic}/thermostat/${targetRoom}/target/state,normalized_scalar,true,CURRENT_APP_NAMESPACE,no,Topic proposto non ancora presente nel contratto.,1,fc51aac30db89430,Outbound Router Termostati,function_application_topic
966f722b97b6dfd5,Gateway Energia,function_literal,function_reference,,,${APP_BASE}/energy/battery,energy,READ_ONLY,unknown,,,energy/battery,${baseTopic}/energy/battery,unknown,true,CURRENT_APP_NAMESPACE,yes,Topic presente nel contratto applicativo.,1,966f722b97b6dfd5,Gateway Energia,function_literal
966f722b97b6dfd5,Gateway Energia,function_literal,function_reference,,,${APP_BASE}/energy/consumption,energy,READ_ONLY,unknown,,,energy/consumption,${baseTopic}/energy/consumption,unknown,true,CURRENT_APP_NAMESPACE,yes,Topic presente nel contratto applicativo.,1,966f722b97b6dfd5,Gateway Energia,function_literal
966f722b97b6dfd5,Gateway Energia,function_literal,function_reference,,,${APP_BASE}/energy/grid,energy,READ_ONLY,unknown,,,energy/grid,${baseTopic}/energy/grid,unknown,true,CURRENT_APP_NAMESPACE,yes,Topic presente nel contratto applicativo.,1,966f722b97b6dfd5,Gateway Energia,function_literal
966f722b97b6dfd5,Gateway Energia,function_literal,function_reference,,,${APP_BASE}/energy/production,energy,READ_ONLY,unknown,,,energy/production,${baseTopic}/energy/production,unknown,true,CURRENT_APP_NAMESPACE,yes,Topic presente nel contratto applicativo.,1,966f722b97b6dfd5,Gateway Energia,function_literal
966f722b97b6dfd5,Gateway Energia,function_literal,function_reference,,,${APP_BASE}/energy/surplus,energy,READ_ONLY,unknown,,,energy/surplus,${baseTopic}/energy/surplus,unknown,true,CURRENT_APP_NAMESPACE,yes,Topic presente nel contratto applicativo.,1,966f722b97b6dfd5,Gateway Energia,function_literal
966f722b97b6dfd5,Gateway Energia,function_literal,function_reference,,,TeslaPowerwall/SOE,energy,READ_ONLY,number,,,energy/battery,${baseTopic}/energy/battery,number,true,LEGACY_MAP,yes,Topic presente nel contratto applicativo.,2,69d0e373d832b240 ; 966f722b97b6dfd5,Gateway Energia ; MQTT SOC Batt,function_literal ; mqtt_node
966f722b97b6dfd5,Gateway Energia,function_literal,function_reference,,,TeslaPowerwall/load_instant_power,energy,READ_ONLY,number,,,energy/consumption,${baseTopic}/energy/consumption,number,true,LEGACY_MAP,yes,Topic presente nel contratto applicativo.,2,326768da85a5d990 ; 966f722b97b6dfd5,Gateway Energia ; MQTT Potenza Casa (Load W),function_literal ; mqtt_node
966f722b97b6dfd5,Gateway Energia,function_literal,function_reference,,,TeslaPowerwall/site_instant_power,energy,READ_ONLY,number,,,energy/grid,${baseTopic}/energy/grid,number,true,LEGACY_MAP,yes,Topic presente nel contratto applicativo.,2,966f722b97b6dfd5 ; db523ff6c9bae47c,Gateway Energia ; MQTT Potenza Produzione FV (FV W),function_literal ; mqtt_node
966f722b97b6dfd5,Gateway Energia,function_literal,function_reference,,,TeslaPowerwall/solar_instant_power,energy,READ_ONLY,number,,,energy/production,${baseTopic}/energy/production,number,true,LEGACY_MAP,yes,Topic presente nel contratto applicativo.,2,6223c2899c0ae992 ; 966f722b97b6dfd5,Gateway Energia ; MQTT Potenza Produzione FV (FV W),function_literal ; mqtt_node
966f722b97b6dfd5,Gateway Energia,function_application_topic,application_mapping,,,zara/android/domotica/energy/battery,energy,READ_ONLY,unknown,,,energy/battery,${baseTopic}/energy/battery,unknown,true,CURRENT_APP_NAMESPACE,yes,Topic presente nel contratto applicativo.,1,966f722b97b6dfd5,Gateway Energia,function_application_topic
966f722b97b6dfd5,Gateway Energia,function_application_topic,application_mapping,,,zara/android/domotica/energy/consumption,energy,READ_ONLY,unknown,,,energy/consumption,${baseTopic}/energy/consumption,unknown,true,CURRENT_APP_NAMESPACE,yes,Topic presente nel contratto applicativo.,1,966f722b97b6dfd5,Gateway Energia,function_application_topic
966f722b97b6dfd5,Gateway Energia,function_application_topic,application_mapping,,,zara/android/domotica/energy/grid,energy,READ_ONLY,unknown,,,energy/grid,${baseTopic}/energy/grid,unknown,true,CURRENT_APP_NAMESPACE,yes,Topic presente nel contratto applicativo.,1,966f722b97b6dfd5,Gateway Energia,function_application_topic
966f722b97b6dfd5,Gateway Energia,function_application_topic,application_mapping,,,zara/android/domotica/energy/production,energy,READ_ONLY,unknown,,,energy/production,${baseTopic}/energy/production,unknown,true,CURRENT_APP_NAMESPACE,yes,Topic presente nel contratto applicativo.,1,966f722b97b6dfd5,Gateway Energia,function_application_topic
966f722b97b6dfd5,Gateway Energia,function_application_topic,application_mapping,,,zara/android/domotica/energy/surplus,energy,READ_ONLY,unknown,,,energy/surplus,${baseTopic}/energy/surplus,unknown,true,CURRENT_APP_NAMESPACE,yes,Topic presente nel contratto applicativo.,1,966f722b97b6dfd5,Gateway Energia,function_application_topic
funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal,function_reference,,,/command,fireplace,COMMAND,unknown,,,,,unknown,false,MANUAL_REVIEW,no,,1,funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal
funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal,function_reference,,,alexa/caminetto/command,fireplace,COMMAND,unknown,,,,,unknown,false,MANUAL_REVIEW,no,,1,funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal
funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal,function_reference,,,/,fireplace,READ_ONLY,unknown,,,,,unknown,true,DYNAMIC_TOPIC,no,,1,funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal
funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal,function_reference,,,/esp8266/palazzetti,fireplace,READ_ONLY,unknown,,,,,unknown,true,MANUAL_REVIEW,no,,1,funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal
funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal,function_reference,,,/getstatus,fireplace,READ_ONLY,unknown,,,,,unknown,true,MANUAL_REVIEW,no,,1,funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal
funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal,function_reference,,,/hello,fireplace,READ_ONLY,unknown,,,,,unknown,true,MANUAL_REVIEW,no,,1,funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal
funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal,function_reference,,,/log/message,fireplace,READ_ONLY,unknown,,,,,unknown,true,MANUAL_REVIEW,no,,1,funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal
funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal,function_reference,,,/power,fireplace,READ_ONLY,number,,,,,number,true,MANUAL_REVIEW,no,,1,funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal
mqtt_in_app_cmnd,alexa/caminetto,mqtt_node,broker_to_bridge,192.168.1.15,1883,alexa/caminetto,fireplace,READ_ONLY,unknown,0,,,,unknown,true,MANUAL_REVIEW,no,,2,funzione_ponte_caminetto ; mqtt_in_app_cmnd,Ponte Traduttore Caminetto ; alexa/caminetto,function_literal ; mqtt_node
funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal,function_reference,,,alexa/caminetto/power,fireplace,READ_ONLY,number,,,,,number,true,MANUAL_REVIEW,no,,1,funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal
funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal,function_reference,,,emon/focolare/powerraw,fireplace,READ_ONLY,number,,,casa/stufa/stat/potenza,${baseTopic}/casa/stufa/stat/potenza,number,true,LEGACY_MAP,yes,Topic presente nel contratto applicativo.,2,8022e945f076fa2f ; funzione_ponte_caminetto,8022e945f076fa2f ; Ponte Traduttore Caminetto,function_literal ; mqtt_node
funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal,function_reference,,,zara/android/domotica,fireplace,READ_ONLY,unknown,,,,,unknown,true,DYNAMIC_TOPIC,no,,1,funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal
funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal,function_reference,,,zara/domotics/palazzetti/,fireplace,READ_ONLY,unknown,,,,,unknown,true,MANUAL_REVIEW,no,,1,funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal
mqtt_in_palazzetti,zara/domotics/palazzetti/#,mqtt_node,broker_to_bridge,192.168.1.15,1883,zara/domotics/palazzetti/#,fireplace,READ_ONLY,unknown,0,,casa/stufa/stat/#,${baseTopic}/casa/stufa/stat/#,unknown,true,LEGACY_MAP,no,Topic proposto non ancora presente nel contratto.,1,mqtt_in_palazzetti,zara/domotics/palazzetti/#,mqtt_node
funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal,function_reference,,,zara/domotics/palazzetti/set/modalita,fireplace,READ_ONLY,unknown,,,casa/stufa/stat/modalita,${baseTopic}/casa/stufa/stat/modalita,unknown,true,LEGACY_MAP,yes,Topic presente nel contratto applicativo.,1,funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_literal
funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_application_topic,application_mapping,,,zara/android/domotica/casa/stufa/stat/acceso,fireplace,STATE,unknown,,,casa/stufa/stat/acceso,${baseTopic}/casa/stufa/stat/acceso,normalized_scalar,true,CURRENT_APP_NAMESPACE,yes,Topic presente nel contratto applicativo.,1,funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_application_topic
funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_application_topic,application_mapping,,,zara/android/domotica/casa/stufa/stat/modalita,fireplace,STATE,unknown,,,casa/stufa/stat/modalita,${baseTopic}/casa/stufa/stat/modalita,normalized_scalar,true,CURRENT_APP_NAMESPACE,yes,Topic presente nel contratto applicativo.,1,funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_application_topic
funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_application_topic,application_mapping,,,zara/android/domotica/casa/stufa/stat/potenza,fireplace,STATE,unknown,,,casa/stufa/stat/potenza,${baseTopic}/casa/stufa/stat/potenza,normalized_scalar,true,CURRENT_APP_NAMESPACE,yes,Topic presente nel contratto applicativo.,1,funzione_ponte_caminetto,Ponte Traduttore Caminetto,function_application_topic
bb9aca93c54b36f1,function 33,function_literal,function_reference,,,/history/ac/request,history,READ_ONLY,unknown,,,,,unknown,true,LOCAL_SERVICE,no,,1,bb9aca93c54b36f1,function 33,function_literal
47032d1afbd3badf,Formatta Response App,function_application_topic,application_mapping,,,zara/android/domotica/history/ac/response,history,READ_ONLY,unknown,,,history/ac/response,${baseTopic}/history/ac/response,unknown,true,CURRENT_APP_NAMESPACE,no,Topic proposto non ancora presente nel contratto.,1,47032d1afbd3badf,Formatta Response App,function_application_topic
029b611c762d7219,Inbound Router Luci,function_literal,function_reference,,,/scene/set,lights,COMMAND,scalar_or_boolean,,,,,scalar_or_boolean,false,MANUAL_REVIEW,no,,1,029b611c762d7219,Inbound Router Luci,function_literal
029b611c762d7219,Inbound Router Luci,function_literal,function_reference,,,/set,lights,COMMAND,scalar_or_boolean,,,,,scalar_or_boolean,false,MANUAL_REVIEW,no,,1,029b611c762d7219,Inbound Router Luci,function_literal
029b611c762d7219,Inbound Router Luci,function_literal,function_reference,,,shellies/shelly1-esterno/relay/0/command,lights,COMMAND,unknown,,,,,unknown,false,OBSOLETE,no,Dispositivo luce dichiarato obsoleto nel progetto.,1,029b611c762d7219,Inbound Router Luci,function_literal
30036127a21d4c88,App -> Comando Scene Luci,mqtt_node,broker_to_bridge,192.168.1.20,1883,zara/android/domotica/scene/set,lights,COMMAND,scalar_or_boolean,2,,scene/set,${baseTopic}/scene/set,scalar_or_boolean,false,CURRENT_APP_NAMESPACE,no,Topic proposto non ancora presente nel contratto. Nodo disabilitato nel flow corrente.,1,30036127a21d4c88,App -> Comando Scene Luci,mqtt_node
01283d5864cde9b4,Inbound Router Settaggi,function_application_topic,application_mapping,,,zara/android/domotica/system/luci_eco/set,lights,COMMAND,scalar_or_boolean,,,system/luci_eco/set,${baseTopic}/system/luci_eco/set,scalar_or_boolean,false,CURRENT_APP_NAMESPACE,no,Topic proposto non ancora presente nel contratto.,1,01283d5864cde9b4,Inbound Router Settaggi,function_application_topic
01283d5864cde9b4,Inbound Router Settaggi,function_application_topic,application_mapping,,,zara/android/domotica/system/luci_piscina_auto/set,lights,COMMAND,scalar_or_boolean,,,system/luci_piscina_auto/set,${baseTopic}/system/luci_piscina_auto/set,scalar_or_boolean,false,CURRENT_APP_NAMESPACE,yes,Topic presente nel contratto applicativo.,1,01283d5864cde9b4,Inbound Router Settaggi,function_application_topic
029b611c762d7219,Inbound Router Luci,function_literal,function_reference,,,zigbee2mqtt/Luce_Cucina/set,lights,COMMAND,scalar_or_boolean,,,,,scalar_or_boolean,false,OBSOLETE,no,Dispositivo luce dichiarato obsoleto nel progetto.,1,029b611c762d7219,Inbound Router Luci,function_literal
029b611c762d7219,Inbound Router Luci,function_literal,function_reference,,,/light/,lights,READ_ONLY,unknown,,,,,unknown,true,MANUAL_REVIEW,no,,2,029b611c762d7219 ; ef9798fe30ae6866,App Main Router ; Inbound Router Luci,function_literal
ef9798fe30ae6866,App Main Router,function_literal,function_reference,,,/scene/,lights,READ_ONLY,unknown,,,,,unknown,true,MANUAL_REVIEW,no,,1,ef9798fe30ae6866,App Main Router,function_literal
029b611c762d7219,Inbound Router Luci,function_literal,function_reference,,,^${baseTopic}/light/([^/]+)/set$,lights,READ_ONLY,unknown,,,,,unknown,true,REGEX_ROUTE,no,,1,029b611c762d7219,Inbound Router Luci,function_literal
b5960f2b4677e29c,Outbound Router Luci,function_literal,function_reference,,,shellies/shelly1-771284/relay/0,lights,READ_ONLY,unknown,,,,,unknown,true,PHYSICAL_TOPIC,no,,1,b5960f2b4677e29c,Outbound Router Luci,function_literal
b5960f2b4677e29c,Outbound Router Luci,function_literal,function_reference,,,shellies/shelly1-B8C284/relay/0,lights,READ_ONLY,unknown,,,,,unknown,true,PHYSICAL_TOPIC,no,,1,b5960f2b4677e29c,Outbound Router Luci,function_literal
b5960f2b4677e29c,Outbound Router Luci,function_literal,function_reference,,,shellies/shelly1-B92AF0/relay/0,lights,READ_ONLY,unknown,,,,,unknown,true,PHYSICAL_TOPIC,no,,1,b5960f2b4677e29c,Outbound Router Luci,function_literal
b5960f2b4677e29c,Outbound Router Luci,function_literal,function_reference,,,shellies/shelly1-esterno,lights,READ_ONLY,unknown,,,,,unknown,true,OBSOLETE,no,Dispositivo luce dichiarato obsoleto nel progetto.,1,b5960f2b4677e29c,Outbound Router Luci,function_literal
