node_id,direction,name,topic,dynamic_topic,qos,retain,broker_name,broker_host,broker_port,disabled
536b72c34561348b,PUBLISH,,cmnd/tasmota_F32F4F/TEMPTARGETSET,no,,true,domopi mqtt,192.168.1.20,1883,False
a836c202e981967b,SUBSCRIBE,,emon/TermostatLiving/Switch,no,2,,emoncms mqtt,192.168.1.15,1883,False
c784eb3294af2fd6,PUBLISH,,cmnd/tasmota_F294D7/THERMOSTATMODESET,no,,true,domopi mqtt,192.168.1.20,1883,False
6f4423c1a841e1d0,SUBSCRIBE,,cmnd/tasmota_F294D7/TEMPTARGETSET,no,2,,domopi mqtt,192.168.1.20,1883,False
32b91d408bec92d0,PUBLISH,,cmnd/tasmota_F294D7/TEMPTARGETSET,no,,true,domopi mqtt,192.168.1.20,1883,False
64a70a959c5a5b96,SUBSCRIBE,,emon/TermostatMainBathroom/Switch,no,2,,emoncms mqtt,192.168.1.15,1883,False
61b6483e29d346e6,SUBSCRIBE,,emon/shellyBagnocamera/temperature_calibrated,no,2,,emoncms mqtt,192.168.1.15,1883,False
3f57b0cc029f679e,SUBSCRIBE,,zara/domotics/luciECO,no,0,,domopi mqtt,192.168.1.20,1883,False
22d71c9a6065fe9b,PUBLISH,,zara/domotics/luciECO,no,0,true,domopi mqtt,192.168.1.20,1883,False
d036429f3415b306,SUBSCRIBE,,zara/domotics/luciPiscinaAuto,no,0,,domopi mqtt,192.168.1.20,1883,False
865af8e6972b8bc3,PUBLISH,,zara/domotics/luciPiscinaAuto,no,0,true,domopi mqtt,192.168.1.20,1883,False
e5fe808aac72557a,SUBSCRIBE,,emon/shellyACS/tempACS,no,2,,emoncms mqtt,192.168.1.15,1883,False
c5fc3b056689bd92,PUBLISH,,zara/domotics/HP/abilitata,no,,true,emoncms mqtt,192.168.1.15,1883,False
2156d0164e4ef3d0,SUBSCRIBE,,zara/domotics/HP/abilitata,no,2,,emoncms mqtt,192.168.1.15,1883,False
9fa00d7a7ba8f2c7,SUBSCRIBE,,zara/domotics/ACAuto,no,0,,domopi mqtt,192.168.1.20,1883,False
0dd49f645bf50359,PUBLISH,,zara/domotics/ACAuto,no,0,true,domopi mqtt,192.168.1.20,1883,False
d85f5996e699f6c4,SUBSCRIBE,,zara/domotics/HP/solardivertmode,no,2,,emoncms mqtt,192.168.1.15,1883,False
8a433f258fd9ae4c,PUBLISH,,zara/domotics/HP/solardivertmode,no,,true,emoncms mqtt,192.168.1.15,1883,False
7f18e1cc67d66009,SUBSCRIBE,,TeslaPowerwall/site_instant_power,no,2,,emoncms mqtt,192.168.1.15,1883,False
c367ab1d7f57744a,SUBSCRIBE,,zara/domotics/AC/command,no,2,,domopi mqtt,192.168.1.20,1883,False
0cfe277a93d1cd75,PUBLISH,TasmotaLampadaHifi,cmnd/tasmota_86AD14/POWER,no,,true,emoncms mqtt,192.168.1.15,1883,False
8b5131fe86d70e81,PUBLISH,,zara/domotics/livingThemostatMinValue,no,0,true,emoncms mqtt,192.168.1.15,1883,False
1231be7b548cdaa8,PUBLISH,,zara/domotics/livingThemostatMaxValue,no,0,true,emoncms mqtt,192.168.1.15,1883,False
e1aa6d4c58cd04d2,SUBSCRIBE,,zara/domotics/livingThemostatMinValue,no,2,,emoncms mqtt,192.168.1.15,1883,False
719a9c6bd05f9d29,SUBSCRIBE,,zara/domotics/livingThemostatMaxValue,no,2,,emoncms mqtt,192.168.1.15,1883,False
6136963cd78ed054,PUBLISH,,zara/domotics/controlloAutomaticoPotenzaCaminetto,no,0,true,emoncms mqtt,192.168.1.15,1883,False
f564b03505444bdd,SUBSCRIBE,,zara/domotics/controlloAutomaticoPotenzaCaminetto,no,2,,emoncms mqtt,192.168.1.15,1883,False
b0bc205fa5169a65,SUBSCRIBE,,homeassistant_voice,no,2,,domopi mqtt,192.168.1.20,1883,False
0a00c1b4d8e1e3b1,PUBLISH,,cmnd/SmallBathroomThermostat/THERMOSTATMODESET,no,,true,domopi mqtt,192.168.1.20,1883,False
1ecc2374fb50c3c8,SUBSCRIBE,,emon/bagnoServizio/temperature,no,2,,emoncms mqtt,192.168.1.15,1883,False
0299dab27d7f86b5,SUBSCRIBE,,cmnd/SmallBathroomThermostat/TEMPTARGETSET,no,2,,domopi mqtt,192.168.1.20,1883,False
58751d9fae3db0b1,PUBLISH,,cmnd/SmallBathroomThermostat/TEMPTARGETSET,no,,true,domopi mqtt,192.168.1.20,1883,False
640beab93ecc16d5,SUBSCRIBE,,emon/bagnoServizio/Switch,no,2,,emoncms mqtt,192.168.1.15,1883,False
672bbe5e1d0b113d,PUBLISH,,zara/domotics/SmallBathroomThermostatMinValue,no,0,true,emoncms mqtt,192.168.1.15,1883,False
7d28c8c458bcf67f,PUBLISH,,zara/domotics/SmallBathroomThermostatMaxValue,no,0,true,emoncms mqtt,192.168.1.15,1883,False
319d24de17cbec63,SUBSCRIBE,,zara/domotics/SmallBathroomThermostatMinValue,no,2,,emoncms mqtt,192.168.1.15,1883,False
bae566f7c8849a82,SUBSCRIBE,,zara/domotics/SmallBathroomThermostatMaxValue,no,2,,emoncms mqtt,192.168.1.15,1883,False
43cfe2f970bb9c81,PUBLISH,,emon/cameraMatrimoniale/humidex,no,,,emoncms mqtt,192.168.1.15,1883,False
0b4112e939342807,PUBLISH,,emon/emonth5/humidex,no,,,emoncms mqtt,192.168.1.15,1883,False
08db19e17a531f07,SUBSCRIBE,emon/weather/RelativeHumidity,emon/weather/extHumidity,no,2,,emoncms mqtt,192.168.1.15,1883,False
45d314fcacd88210,SUBSCRIBE,,shellies/shelly1-771284/relay/0,no,2,,emoncms mqtt,192.168.1.15,1883,False
ecd6f9eba4b883a3,PUBLISH,,zara/domotics/porch_sensor,no,0,true,domopi mqtt,192.168.1.20,1883,False
31482396d58350b8,SUBSCRIBE,,zara/domotics/porch_sensor,no,0,,domopi mqtt,192.168.1.20,1883,False
