node_id,direction,name,topic,dynamic_topic,qos,retain,broker_name,broker_host,broker_port,disabled
831724587f5922f7,SUBSCRIBE,humidex living,emon/emonth5/humidex,no,2,,emoncms mqtt,192.168.1.15,1883,False
mqtt_in_palazzetti,SUBSCRIBE,zara/domotics/palazzetti/#,zara/domotics/palazzetti/#,no,0,,emoncms mqtt,192.168.1.15,1883,False
mqtt_in_app_cmnd,SUBSCRIBE,alexa/caminetto,alexa/caminetto,no,0,,emoncms mqtt,192.168.1.15,1883,False
mqtt_out_locale,PUBLISH,MQTT Locale (App & ESP),,yes,1,true,domopi mqtt,192.168.1.20,1883,False
mqtt_out_alexa,PUBLISH,MQTT Esterno (Alexa),,yes,1,false,,,,True
8022e945f076fa2f,SUBSCRIBE,,emon/focolare/powerraw,no,2,,emoncms mqtt,192.168.1.15,1883,False
5d2d6ba3ad4c3262,SUBSCRIBE,,zara/domotics/lights/readinglight,no,2,,domopi mqtt,192.168.1.20,1883,False
2b99835ee36a758d,PUBLISH,,zara/domotics/time_range,no,,true,domopi mqtt,192.168.1.20,1883,False
59b830f96fe6bb19,SUBSCRIBE,,,no,2,,domopi mqtt,192.168.1.20,1883,False
302a2960a9fdf64f,PUBLISH,,,yes,1,false,domopi mqtt,192.168.1.20,1883,False
