node_id,type,name,topic,disabled,wired_inputs,wired_outputs,x,y
01283d5864cde9b4,function,Inbound Router Settaggi,,False,1,1,610,2280
1d09b533095d68c1,mqtt out,zara/domotics/modalitavacanza,zara/domotics/modalitavacanza,False,1,0,1110,2280
28256464972b2329,mqtt in,zara/domotics/modalitavacanza,zara/domotics/modalitavacanza,False,0,1,1670,2280
b51bd73002b7f88b,mqtt out,zara/domotics/luciECO,zara/domotics/luciECO,False,1,0,1080,2340
c698d126b68e11f8,mqtt in,zara/domotics/luciECO,zara/domotics/luciECO,False,0,1,1700,2340
e3e42f614574d29c,switch,switch,,False,1,8,830,2360
cf899af1e8162086,function,Outbound Router Settaggi,,False,7,1,2050,2360
3bfeb435fb6e3132,mqtt out,zara/domotics/luciPiscinaAuto,zara/domotics/luciPiscinaAuto,False,1,0,1110,2400
5b7675e55cbc4b81,mqtt in,zara/domotics/luciPiscinaAuto,zara/domotics/luciPiscinaAuto,False,0,1,1680,2400
a40733727fb29c55,mqtt out,zara/domotics/ACAuto,zara/domotics/ACAuto,False,1,0,1080,2460
6571bf1f8e667903,mqtt in,zara/domotics/ACAuto,zara/domotics/ACAuto,False,0,1,1700,2460
3db3a26c676e583c,mqtt out,casa/clima/cmnd/vmc_max_notte,casa/clima/cmnd/vmc_max_notte,False,1,0,1120,2520
6bf7b6d43cfb3fc3,mqtt in,casa/clima/stat/vmc_max_notte,casa/clima/stat/vmc_max_notte,False,0,1,1670,2520
0af2db132cc8cd0f,mqtt out,casa/clima/cmnd/AI_climate_enabling,casa/clima/cmnd/AI_climate_enabling,False,1,0,1130,2580
4b484152120e2d18,mqtt in,casa/clima/cmnd/AI_climate_enabling,casa/clima/cmnd/AI_climate_enabling,False,0,1,1650,2580
d073880643e29f9e,mqtt out,zara/domotics/porch_sensor,zara/domotics/porch_sensor,False,1,0,1100,2640
fc0ba16b2241adf1,mqtt in,zara/domotics/porch_sensor,zara/domotics/porch_sensor,False,0,1,1680,2640
2b99835ee36a758d,mqtt out,zara/domotics/time_range,zara/domotics/time_range,False,1,0,1090,2700
mqtt_out_locale,mqtt out,MQTT Locale (App & ESP),,False,1,0,1470,3020
mqtt_in_palazzetti,mqtt in,zara/domotics/palazzetti/#,zara/domotics/palazzetti/#,False,0,1,870,3040
funzione_ponte_caminetto,function,Ponte Traduttore Caminetto,,False,3,2,1120,3060
mqtt_in_app_cmnd,mqtt in,alexa/caminetto,alexa/caminetto,False,0,1,840,3100
mqtt_out_alexa,mqtt out,MQTT Esterno (Alexa),,True,1,0,1460,3100
8022e945f076fa2f,mqtt in,emon/focolare/powerraw,emon/focolare/powerraw,False,0,1,870,3180
df37ade7eb3a3f9e,link in,storico 7gg,,False,0,1,95,3300
bb9aca93c54b36f1,function,function 33,,False,1,1,230,3300
59b830f96fe6bb19,mqtt in,mqtt in,,False,1,1,430,3300
c8bcd6a16c1bb598,function,Query Storico 7gg,,False,1,1,670,3300
6067fbe89079d1b4,mysql,MariaDB domotica ZaraDomotica / ZaraDomotica,,False,1,1,1010,3300
47032d1afbd3badf,function,Formatta Response App,,False,1,1,1370,3300
302a2960a9fdf64f,mqtt out,mqtt out,,False,1,0,1650,3300
