node_id,type,name,topic,group_id,disabled,wired_inputs,wired_outputs,x,y
250913dd.5b2ef4,function,function,,,False,1,2,490,1540
71df72.4af1f09,ui_numeric,Ora avvio,,714b9948.bd615,True,1,1,840,1540
16a94456.9081e4,function,function,,,False,1,1,1010,1540
d69205f8.c93028,mqtt out,zara/domotics/palazzetti/oraavvio,zara/domotics/palazzetti/oraavvio,,False,4,0,1440,1540
7919434f.40de94,function,function,,,False,1,1,350,1580
8a7f1773.ada928,ui_numeric,Min avvio,,714b9948.bd615,True,1,1,840,1580
b075f5de.8d3a28,function,function,,,False,1,1,1010,1580
9304c080.4e8648,ui_audio,ui_audio,,317db321.171764,False,21,0,2240,1580
556a8d3a.bd89e4,function,function,,,False,1,1,350,1620
52a23e3e.61a5d,mqtt in,zara/domotics/palazzetti/oraspegnimento,zara/domotics/palazzetti/oraspegnimento,,False,0,3,220,1660
17c12ba8.009184,function,function,,,False,1,2,490,1660
31fd687b.0377c8,ui_numeric,Ora spegnimento,,714b9948.bd615,True,1,1,870,1660
4c3c2759.a96868,function,function,,,False,1,1,1050,1660
9e15623.b7152a,mqtt out,zara/domotics/palazzetti/oraspegnimento,zara/domotics/palazzetti/oraspegnimento,,False,4,0,1460,1680
18d604a7.feec63,ui_numeric,Min spegnimento,,714b9948.bd615,True,1,1,870,1700
5e71bedf.693798,function,function,,,False,1,1,1050,1700
f564b03505444bdd,mqtt in,zara/domotics/controlloAutomaticoPotenzaCaminetto,zara/domotics/controlloAutomaticoPotenzaCaminetto,,False,0,1,250,1720
fe9e45776117b3ef,ui_switch,Controllo Automatico Potenza,topic,714b9948.bd615,False,1,1,230,1760
aa64faa6.eb1d38,function,function,,,False,1,1,1110,1760
6136963cd78ed054,mqtt out,zara/domotics/controlloAutomaticoPotenzaCaminetto,zara/domotics/controlloAutomaticoPotenzaCaminetto,,False,1,0,280,1800
4ceb56a5.59dba,switch,switch,,,False,1,3,970,1800
5814aa90.9ea9bc,function,function,,,False,1,1,1110,1800
b65510fb.7d5b08,function,get startTime,,,False,1,1,370,1840
10b777c5.044d88,function,function,,,False,1,1,1110,1840
7ef51e19.1f5ba,inject,inject,,,False,0,7,180,1860
477d8eef.2087,mysql,ZaraDomotica / ZaraDomotica,,,False,6,1,670,1860
82caa6e2.da329,function,get stopTime,,,False,1,1,370,1880
2d7950d.070d93,function,get modalita,,,False,1,1,370,1920
343382afed30d1f9,function,function 9,,,False,1,1,1000,1920
8f8545dee9ee759f,ui_text_input,<font size=5>Avvio,topic,714b9948.bd615,False,1,1,1310,1920
4a0aba0372fad07c,moment,moment,,,False,1,1,1580,1920
7f5c66bf680c81e2,function,function 10,,,False,1,1,990,1980
9b61cf5580a45fcd,ui_text_input,<font size=5>Spegnimento,topic,714b9948.bd615,False,1,1,1280,1980
a4161beb612ac6e3,moment,moment,,,False,1,1,1580,1980
cc02a044.fcd4b,function,global vars,,,False,1,0,500,2020
f88327af.1c1ac8,mqtt in,emon/emonth5/temperature_calibrated,emon/emonth5/temperature_calibrated,,False,0,3,210,2140
27ddde57.ea1662,function,function,,,False,1,1,460,2140
d18037e8.b36368,ui_gauge,°C,,317db321.171764,False,1,0,670,2140
1397736.389d18d,mqtt in,emon/weather/extTemp,emon/weather/extTemp,,False,0,1,160,2180
6f149299.5cb66c,ui_gauge,°C,,317db321.171764,False,1,0,680,2180
