scope,operation,variable,store_hint,flow,node_id,node_name
global,get,app_base_topic,,Android APP Bridge,router_in_lights,Inbound Router Luci
global,get,app_base_topic,,Android APP Bridge,931ae7ea951269b3,Gateway Energia
flow,get,last_prod,,Android APP Bridge,931ae7ea951269b3,Gateway Energia
flow,set,last_prod,,Android APP Bridge,931ae7ea951269b3,Gateway Energia
flow,get,last_cons,,Android APP Bridge,931ae7ea951269b3,Gateway Energia
flow,set,last_cons,,Android APP Bridge,931ae7ea951269b3,Gateway Energia
global,get,app_base_topic,,Android APP Bridge,inbound_router_thermostats,Inbound Router Termostati
global,get,app_base_topic,,Android APP Bridge,6250ba4fd5d0e8f6,Inbound Router VMC
global,get,app_base_topic,,Android APP Bridge,ec7b23eb2a3e02e5,Gateway Ambienti
global,get,app_base_topic,,Android APP Bridge,ccb6fb43483367ea,Inbound Router Settaggi
global,get,app_base_topic,,Android APP Bridge,8c0810b9f0a64f02,App Main Router
global,get,app_base_topic,,Android APP Bridge,ee2a2ba92d28ea5a,Inbound Router Luci
global,get,app_base_topic,,Android APP Bridge,24455c4a2ada8d2d,Inbound Router Settaggi
global,set,system_enabled,file,Android APP Bridge,24455c4a2ada8d2d,Inbound Router Settaggi
global,set,holiday,file,Android APP Bridge,24455c4a2ada8d2d,Inbound Router Settaggi
global,set,AI_climate_enabling,file,Android APP Bridge,24455c4a2ada8d2d,Inbound Router Settaggi
global,set,user_vmc_max_notte,file,Android APP Bridge,24455c4a2ada8d2d,Inbound Router Settaggi
global,set,app_base_topic,file,Android APP Bridge,78a60fefa1ad4a40,function 29
global,get,app_base_topic,,Android APP Bridge,cc1f896ddfdf9b70,Inbound Router Termostati
global,get,app_base_topic,,Android APP Bridge,029b611c762d7219,Inbound Router Luci
global,get,app_base_topic,,Android APP Bridge,b5960f2b4677e29c,Outbound Router Luci
global,get,app_base_topic,,Android APP Bridge,966f722b97b6dfd5,Gateway Energia
flow,get,last_prod,,Android APP Bridge,966f722b97b6dfd5,Gateway Energia
flow,set,last_prod,,Android APP Bridge,966f722b97b6dfd5,Gateway Energia
flow,get,last_cons,,Android APP Bridge,966f722b97b6dfd5,Gateway Energia
flow,set,last_cons,,Android APP Bridge,966f722b97b6dfd5,Gateway Energia
global,get,app_base_topic,,Android APP Bridge,bd8d66b09aae991f,Inbound Router Termostati
global,get,app_base_topic,,Android APP Bridge,fc51aac30db89430,Outbound Router Termostati
global,get,app_base_topic,,Android APP Bridge,893cab22b022f9f7,Inbound Router VMC
global,get,app_base_topic,,Android APP Bridge,cb6b6b6eff77245e,Outbound Router VMC
global,get,app_base_topic,,Android APP Bridge,84374abab73c53ba,Gateway Ambienti
global,get,app_base_topic,,Android APP Bridge,01283d5864cde9b4,Inbound Router Settaggi
global,set,grace_period_time_range,file,Android APP Bridge,01283d5864cde9b4,Inbound Router Settaggi
global,get,app_base_topic,,Android APP Bridge,ef9798fe30ae6866,App Main Router
global,get,app_base_topic,,Android APP Bridge,ad2a868186bbe8b6,function 29
global,set,app_base_topic,file,Android APP Bridge,ad2a868186bbe8b6,function 29
global,get,app_base_topic,,Android APP Bridge,cf899af1e8162086,Outbound Router Settaggi
global,get,app_base_topic,,Android APP Bridge,funzione_ponte_caminetto,Ponte Traduttore Caminetto
global,get,app_base_topic,,Android APP Bridge,ab8e8c591cefc337,Configurazione Sottoscrizione Dinamica
global,get,app_base_topic,,Android APP Bridge,47032d1afbd3badf,Formatta Response App
global,get,app_base_topic,,Android APP Bridge,bb9aca93c54b36f1,function 33
global,set,gridPower,,Dashboard Android App,4ca047bf.0cd01,
global,set,solarPower,,Dashboard Android App,4ca047bf.0cd01,
global,get,gridPower,,Dashboard Android App,4ca047bf.0cd01,
global,get,solarPower,,Dashboard Android App,4ca047bf.0cd01,
global,set,homePower,,Dashboard Android App,4ca047bf.0cd01,
global,get,homePower,,Dashboard Android App,4ca047bf.0cd01,
flow,set,livingTemp,,Dashboard Android App,30d8f988.be5cde,
flow,set,bedroomTemp,,Dashboard Android App,30d8f988.be5cde,
flow,set,livingHumidity,,Dashboard Android App,30d8f988.be5cde,
flow,set,bedroomHumidity,,Dashboard Android App,30d8f988.be5cde,
flow,get,livingTemp,,Dashboard Android App,30d8f988.be5cde,
flow,get,bedroomTemp,,Dashboard Android App,30d8f988.be5cde,
flow,get,livingHumidity,,Dashboard Android App,30d8f988.be5cde,
flow,get,bedroomHumidity,,Dashboard Android App,30d8f988.be5cde,
global,set,starthour,,Dashboard Android App,16a94456.9081e4,
global,get,starthour,,Dashboard Android App,16a94456.9081e4,
global,get,startminute,,Dashboard Android App,16a94456.9081e4,
global,set,startminute,,Dashboard Android App,b075f5de.8d3a28,
global,get,starthour,,Dashboard Android App,b075f5de.8d3a28,
global,get,startminute,,Dashboard Android App,b075f5de.8d3a28,
global,set,stophour,,Dashboard Android App,4c3c2759.a96868,
global,get,stophour,,Dashboard Android App,4c3c2759.a96868,
global,get,stopminute,,Dashboard Android App,4c3c2759.a96868,
global,set,stopminute,,Dashboard Android App,5e71bedf.693798,
global,get,stophour,,Dashboard Android App,5e71bedf.693798,
global,get,stopminute,,Dashboard Android App,5e71bedf.693798,
global,set,bedroomTemp,,Dashboard Android App,cc02a044.fcd4b,global vars
global,get,bedroomTemp,,Dashboard Android App,848c486f.e9dd88,start/stop AC 25 Eco at night
global,get,ACRaffrescamento,,Dashboard Android App,848c486f.e9dd88,start/stop AC 25 Eco at night
global,get,ACAUTO,,Dashboard Android App,848c486f.e9dd88,start/stop AC 25 Eco at night
global,set,ACRaffrescamento,,Dashboard Android App,848c486f.e9dd88,start/stop AC 25 Eco at night
global,set,ACRaffrescamento,,Dashboard Android App,848c486f.e9dd88,start/stop AC 25 Eco at night
global,set,ACRaffrescamento,,Dashboard Android App,848c486f.e9dd88,start/stop AC 25 Eco at night
global,set,ACRaffrescamento,,Dashboard Android App,848c486f.e9dd88,start/stop AC 25 Eco at night
global,set,ACRaffrescamento,,Dashboard Android App,848c486f.e9dd88,start/stop AC 25 Eco at night
global,set,ACRaffrescamento,,Dashboard Android App,848c486f.e9dd88,start/stop AC 25 Eco at night
global,set,holiday,file,Dashboard Android App,816f87f1.fdeb1,
global,get,holiday,,Dashboard Android App,8f691b093d10b3ee,regolazione termostati a 17
global,get,holiday,,Dashboard Android App,8f2063c50153934e,regolazione termostati assenza/vacnza
global,set,luciECO,file,Dashboard Android App,f5c9c515cf42d334,
global,set,luciPiscinaAUTO,file,Dashboard Android App,f6acc7720b681b77,
global,set,SensorePorticoAbilitato,file,Dashboard Android App,3dbd3b0db5f5962d,function 11
global,set,SensorePorticoAbilitato,file,Dashboard Android App,3dbd3b0db5f5962d,function 11
global,set,ACAUTO,file,Dashboard Android App,f58b780782821937,
global,set,SensorePorticoAbilitato,,Dashboard Android App,71abe7c41c12fa36,function 31
global,set,SensorePorticoAbilitato,,Dashboard Android App,71abe7c41c12fa36,function 31
flow,set,AC_Winter_LastCommand,file,AI climate,4d8e955d1ce128dd,flow.set AC_Winter_LastCommand
flow,get,AC_Winter_LastCommand,,AI climate,8ba4936278470454,flow.get AC_Winter_LastCommand
flow,set,produzione,,AI climate,61992c8879c11f66,Machine Learning domotico locale ad alta precisione
flow,set,consumo,,AI climate,61992c8879c11f66,Machine Learning domotico locale ad alta precisione
