category,topic,direction,flows,brokers,qos,retain,notes
Sensori ambientali,emon/emonth5/temperature_calibrated,SUB(5),AI climate | Android APP Bridge | Dashboard Android App,emoncms mqtt,2,,
Energia e fotovoltaico,emon/emontx3/power1,SUB(2),Dashboard Android App | Google Webhook,emoncms mqtt,2,,
Luci,emon/emontx3/power2,SUB(3),Dashboard Android App | Google Webhook | broadlink lights,emoncms mqtt,2,,
Impianti termici,emon/focolare/powerraw,SUB(2),Android APP Bridge | Dashboard Android App,emoncms mqtt,2,,
Impianti termici,emon/resolDL2/pump1,SUB(1),Dashboard Android App,emoncms mqtt,2,,
Sensori ambientali,emon/resolDL2/sensor1,SUB(3),Android APP Bridge | Dashboard Android App,emoncms mqtt,2,,
Sensori ambientali,emon/resolDL2/sensor2,SUB(3),Android APP Bridge | Dashboard Android App,emoncms mqtt,2,,
Sensori ambientali,emon/resolDL2/sensor3,SUB(3),Android APP Bridge | Dashboard Android App,emoncms mqtt,2,,
Sensori ambientali,emon/shellyACS/tempACS,SUB(3),Android APP Bridge | Dashboard Android App,emoncms mqtt,2,,
Sensori ambientali,emon/shellyBagnocamera/temperature_calibrated,SUB(1),Dashboard Android App,emoncms mqtt,2,,
Altro / da classificare,emon/tasmotaFrigorifero/power,PUB(1),mqtt to emoncms,emoncms mqtt,2,true,
Altro / da classificare,emon/tasmotaFrigorifero/tasmotaCurrent,PUB(1),mqtt to emoncms,emoncms mqtt,2,true,
Altro / da classificare,emon/tasmotaFrigorifero/tasmotaVoltage,PUB(1),mqtt to emoncms,emoncms mqtt,2,true,
Sensori ambientali,emon/weather/RelativeHumidity,SUB(1),Dashboard Android App,emoncms mqtt,2,,
Sensori ambientali,emon/weather/extHumidity,SUB(1) + PUB(1),Dashboard Android App | ZigBee sensors,emoncms mqtt,2,true,
Sensori ambientali,emon/weather/extTemp,SUB(1) + PUB(1),Dashboard Android App | ZigBee sensors,emoncms mqtt,2,true,
Sensori ambientali,emon/weather/tomorrowSolarIrradiance,SUB(1),start local scripts,emoncms mqtt,2,,
Altro / da classificare,homeassistant_voice,SUB(1),Dashboard Android App,domopi mqtt,2,,
Irrigazione,opensprinkler/#,SUB(1),opensprinkler relay,domopi mqtt,2,,
Presenza,owntracks/#,SUB(1),OwnTracks,domopi mqtt,2,,
Presenza,owntracks/zaradomo/giuseppe/event,SUB(1),OwnTracks,domopi mqtt,2,,
Luci,shellies/shelly1-771284/relay/0,SUB(4),Android APP Bridge | Dashboard Android App,emoncms mqtt,2,,
Luci,shellies/shelly1-771284/relay/0/command,PUB(1),Amazon Echo,emoncms mqtt,,true,
Luci,shellies/shelly1-98F4ABF294D7/relay/0,SUB(1),Dashboard Android App,emoncms mqtt,2,,
Luci,shellies/shelly1-98F4ABF294D7/relay/0/command,PUB(1),Amazon Echo,emoncms mqtt,,true,
Luci,shellies/shelly1-B8B350/relay/0,SUB(1),Dashboard Android App,emoncms mqtt,2,,
