topic,subscribe_nodes,publish_nodes,flows,brokers,qos,retain
emon/weather/extHumidity,1,1,Dashboard Android App | ZigBee sensors,emoncms mqtt,2,true
emon/weather/extTemp,1,1,Dashboard Android App | ZigBee sensors,emoncms mqtt,2,true
emon/weather/tomorrowSolarIrradiance,1,0,start local scripts,emoncms mqtt,2,
homeassistant_voice,1,0,Dashboard Android App,domopi mqtt,2,
opensprinkler/#,1,0,opensprinkler relay,domopi mqtt,2,
owntracks/#,1,0,OwnTracks,domopi mqtt,2,
owntracks/zaradomo/giuseppe/event,1,0,OwnTracks,domopi mqtt,2,
shellies/shelly1-771284/relay/0,4,0,Android APP Bridge | Dashboard Android App,emoncms mqtt,2,
shellies/shelly1-771284/relay/0/command,0,1,Amazon Echo,emoncms mqtt,,true
shellies/shelly1-98F4ABF294D7/relay/0,1,0,Dashboard Android App,emoncms mqtt,2,
shellies/shelly1-98F4ABF294D7/relay/0/command,0,1,Amazon Echo,emoncms mqtt,,true
shellies/shelly1-B8B350/relay/0,1,0,Dashboard Android App,emoncms mqtt,2,
shellies/shelly1-B8B350/relay/0/command,0,1,Amazon Echo,emoncms mqtt,,true
shellies/shelly1-B8C284/relay/0,3,0,Android APP Bridge | Dashboard Android App,emoncms mqtt,2,
shellies/shelly1-B8C284/relay/0/command,0,1,Amazon Echo,emoncms mqtt,,true
shellies/shelly1-B92AF0/relay/0,3,0,Android APP Bridge | Dashboard Android App,emoncms mqtt,2,
shellies/shelly1-B92AF0/relay/0/command,0,1,Amazon Echo,emoncms mqtt,,true
tele/tasmotaFrigorifero/SENSOR,1,0,mqtt to emoncms,domopi mqtt,2,
zara/android/domotica/#,1,0,Android APP Bridge,domopi mqtt,2,
zara/android/domotica/scene/set,2,0,Android APP Bridge,domopi mqtt,2,
zara/domotics/AC/command,2,1,AI climate | Dashboard Android App,domopi mqtt,2,
zara/domotics/ACAuto,3,3,Android APP Bridge | Dashboard Android App,domopi mqtt,0 | 2,true
zara/domotics/BedroomHumidex,1,0,AI climate,emoncms mqtt,2,
zara/domotics/HP/abilitata,1,1,Dashboard Android App,emoncms mqtt,2,true
zara/domotics/HP/solardivertmode,1,1,Dashboard Android App,emoncms mqtt,2,true
zara/domotics/LivingHumidex,1,0,AI climate,emoncms mqtt,2,
zara/domotics/SmallBathroomThermostatMaxValue,1,1,Dashboard Android App,emoncms mqtt,0 | 2,true
zara/domotics/SmallBathroomThermostatMinValue,1,1,Dashboard Android App,emoncms mqtt,0 | 2,true
zara/domotics/attivaACS,0,1,Amazon Echo,emoncms mqtt,1,true
zara/domotics/clima_log_eventi,1,1,AI climate,emoncms mqtt,2,
zara/domotics/controlloAutomaticoPotenzaCaminetto,1,1,Dashboard Android App,emoncms mqtt,0 | 2,true
zara/domotics/floorpumpstate,1,0,Dashboard Android App,emoncms mqtt,2,
zara/domotics/lights/bedroomlight,0,1,broadlink lights,domopi mqtt,,true
zara/domotics/lights/livinglamp,3,1,Android APP Bridge | Dashboard Android App | broadlink lights,domopi mqtt,2,true
zara/domotics/lights/poolfloor,3,1,Android APP Bridge | Dashboard Android App | broadlink lights,domopi mqtt,2,true
zara/domotics/lights/poollight,3,1,Android APP Bridge | Dashboard Android App | broadlink lights,domopi mqtt,2,true
zara/domotics/lights/poolpump,4,1,Android APP Bridge | Dashboard Android App | broadlink lights,domopi mqtt,2,true
zara/domotics/lights/poolskimmer,4,1,Android APP Bridge | Dashboard Android App | broadlink lights,domopi mqtt,2,true
zara/domotics/lights/prolunga,1,1,Dashboard Android App | broadlink lights,domopi mqtt,2,true
zara/domotics/lights/readinglight,2,1,Android APP Bridge | Dashboard Android App | broadlink lights,domopi mqtt,2,true
zara/domotics/lights/shelflamp,3,1,Android APP Bridge | Dashboard Android App | broadlink lights,domopi mqtt,2,true
zara/domotics/lights/tvlamp,3,1,Android APP Bridge | Dashboard Android App | broadlink lights,domopi mqtt,2,true
zara/domotics/livingThemostatMaxValue,1,1,Dashboard Android App,emoncms mqtt,0 | 2,true
zara/domotics/livingThemostatMinValue,1,1,Dashboard Android App,emoncms mqtt,0 | 2,true
zara/domotics/luciECO,3,3,Android APP Bridge | Dashboard Android App,domopi mqtt,0 | 2,true
zara/domotics/luciPiscinaAuto,3,3,Android APP Bridge | Dashboard Android App,domopi mqtt,0 | 2,true
zara/domotics/modalitavacanza,3,3,Android APP Bridge | Dashboard Android App,domopi mqtt,0 | 2,true
zara/domotics/palazzetti/#,1,0,Android APP Bridge,emoncms mqtt,0,
zara/domotics/palazzetti/acceso,1,0,Dashboard Android App,emoncms mqtt,2,
zara/domotics/palazzetti/modalita,1,1,Dashboard Android App,emoncms mqtt,0 | 2,true
zara/domotics/palazzetti/oraavvio,1,1,Dashboard Android App,emoncms mqtt,2,true
zara/domotics/palazzetti/oraspegnimento,1,1,Dashboard Android App,emoncms mqtt,2,true
zara/domotics/pompapavimento/abilitata,1,1,Dashboard Android App,emoncms mqtt,2,true
zara/domotics/porch_sensor,2,2,Android APP Bridge | Dashboard Android App,domopi mqtt,0,true
zara/domotics/time_range,0,1,Android APP Bridge,domopi mqtt,,true
zigbee2mqtt/+,2,0,Android APP Bridge,domopi mqtt,1,
zigbee2mqtt/IkeaMotion_cucina_outdoor,1,0,ZigBee sensors,domopi mqtt,2,
zigbee2mqtt/IkeaMotion_ingresso_principale,1,0,ZigBee sensors,domopi mqtt,2,
zigbee2mqtt/IkeaMotion_ingresso_secondario,1,0,ZigBee sensors,domopi mqtt,2,
zigbee2mqtt/IkeaMotion_lavanderia,1,0,ZigBee sensors,domopi mqtt,2,
zigbee2mqtt/IkeaMotion_pompeiana,1,0,ZigBee sensors,domopi mqtt,2,
zigbee2mqtt/Sonoff AirGuard TH camera matrimoniale,3,0,Android APP Bridge | ZigBee sensors,domopi mqtt | emoncms mqtt,2,
zigbee2mqtt/Sonoff AirGuard TH esterno cucina,3,0,Android APP Bridge | ZigBee sensors,domopi mqtt,2,
zigbee2mqtt/TU-bagnoServizio,1,0,ZigBee sensors,domopi mqtt,2,
zigbee2mqtt/TU-cameraMatrimoniale,1,0,ZigBee sensors,domopi mqtt,2,
zigbee2mqtt/TU-cameretta,1,0,ZigBee sensors,domopi mqtt,2,
zigbee2mqtt/TU-centraleTermica,1,0,ZigBee sensors,domopi mqtt,2,
zigbee2mqtt/TU-cucinaEsterno,4,0,AI climate | Android APP Bridge | ZigBee sensors,domopi mqtt,2,
zigbee2mqtt/bridge/info,1,0,ZigBee sensors,domopi mqtt,2,
zigbee2mqtt/bridge/response/health_check,0,1,ZigBee sensors,domopi mqtt,2,
zigbee2mqtt/bridge/state,1,0,ZigBee sensors,domopi mqtt,2,
